,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logP
LOC114163093,252.178289,1.102663478,0.205245014,5.372425174,7.77E-08,6.31E-06,7.109664678
LOC114189020,167.7948289,1.926102624,0.359769307,5.353715798,8.62E-08,6.93E-06,7.064663255
LOC114194395,222.9135942,1.252378192,0.233936031,5.353507052,8.63E-08,6.93E-06,7.064161992
LOC114173797,83.21118825,2.218506511,0.415070213,5.344894526,9.05E-08,7.21E-06,7.04349676
LOC114195608,96.14383772,3.277697713,0.613193874,5.345287764,9.03E-08,7.21E-06,7.04443963
LOC114170435,280.78173,1.652600687,0.309404992,5.341221797,9.23E-08,7.33E-06,7.03469378
LOC114193155,478.8778152,3.931618006,0.737463058,5.331274516,9.75E-08,7.72E-06,7.010880205
LOC114180984,220.9277884,-1.397337923,0.262650327,-5.320145378,1.04E-07,8.17E-06,6.984286724
LOC114173753,328.2963096,-1.522142714,0.286685644,-5.309448673,1.10E-07,8.57E-06,6.958775761
LOC114179247,129.2693597,-1.485127666,0.28000922,-5.303852728,1.13E-07,8.77E-06,6.945449
LOC114169891,562.914149,-1.051916994,0.198326636,-5.303962277,1.13E-07,8.77E-06,6.945709766
LOC114181149,2529.448001,-1.344571682,0.253887924,-5.295926101,1.18E-07,9.12E-06,6.926594299
LOC114181409,187.3116371,-1.476035615,0.279108294,-5.288397538,1.23E-07,9.37E-06,6.908710969
LOC114194668,160.4599331,1.719306212,0.325436678,5.283074489,1.27E-07,9.61E-06,6.896081024
LOC114173210,710.2492129,1.449798136,0.274602986,5.279615342,1.29E-07,9.76E-06,6.88787994
LOC114193894,231.2701654,1.251399791,0.237292267,5.273664453,1.34E-07,1.00E-05,6.873783133
LOC114176735,355.3350234,-1.042846376,0.198250567,-5.260244098,1.44E-07,1.06E-05,6.842046987
LOC114172983,64.49405295,1.811885565,0.344616139,5.257692145,1.46E-07,1.07E-05,6.836020773
LOC114190159,96.31243978,1.668825698,0.317533081,5.255596346,1.48E-07,1.08E-05,6.831073779
LOC114183701,124.8456082,1.71465703,0.326337171,5.254249842,1.49E-07,1.08E-05,6.82789642
LOC114172202,158.873122,-1.255685186,0.239304841,-5.247220161,1.54E-07,1.12E-05,6.811320821
LOC114176366,472.6767448,-1.394254666,0.266039846,-5.240773848,1.60E-07,1.15E-05,6.796139068
LOC114175898,47.79702296,2.295218273,0.438144237,5.238499285,1.62E-07,1.16E-05,6.790786405
LOC114190573,196.4363355,2.347198162,0.448582765,5.232475131,1.67E-07,1.20E-05,6.77662047
LOC114173875,204.5060178,1.530829474,0.293385725,5.217804907,1.81E-07,1.29E-05,6.742187032
LOC114169191,2301.860515,-1.32593914,0.254256366,-5.214969292,1.84E-07,1.31E-05,6.735541824
